store_id,x,y,time_window_start,time_window_end,product_id,demand
STORE_001,10.0,20.0,09:00,12:00,PROD_001,10
STORE_001,10.0,20.0,09:00,12:00,PROD_002,5
STORE_001,10.0,20.0,09:00,12:00,PROD_003,3
STORE_002,25.0,35.0,09:30,13:00,PROD_004,8
STORE_002,25.0,35.0,09:30,13:00,PROD_005,15
STORE_002,25.0,35.0,09:30,13:00,PROD_006,2
STORE_003,15.0,40.0,10:00,14:00,PROD_001,12
STORE_003,15.0,40.0,10:00,14:00,PROD_007,1
STORE_004,30.0,10.0,09:00,11:00,PROD_008,4
STORE_004,30.0,10.0,09:00,11:00,PROD_009,6
STORE_005,5.0,45.0,11:00,15:00,PROD_002,8
STORE_005,5.0,45.0,11:00,15:00,PROD_010,5
STORE_006,40.0,25.0,10:30,14:30,PROD_001,7
STORE_006,40.0,25.0,10:30,14:30,PROD_003,4
STORE_006,40.0,25.0,10:30,14:30,PROD_006,3
